gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ChargeRatio,ServiceCount,HasPhoneService,HasInternetService,MultipleLines_Yes,MultipleLines_No,OnlineSecurity_Yes,OnlineSecurity_No,OnlineBackup_Yes,OnlineBackup_No,DeviceProtection_Yes,DeviceProtection_No,TechSupport_Yes,TechSupport_No,StreamingTV_Yes,StreamingTV_No,StreamingMovies_Yes,StreamingMovies_No,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureBucket_13-24_months,TenureBucket_25-48_months,TenureBucket_49+_months
0,0,1,0,1,0,1,29.85,29.85,0,1.0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,False,False,False,False,False,True,False,False,False,False
1,0,0,0,34,1,0,56.95,1889.5,0,1.0247684572638265,3,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,False,False,True,False,False,False,True,False,True,False
1,0,0,0,2,1,1,53.85,108.15,1,0.9958391123439667,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,False,False,False,False,False,False,True,False,False,False
1,0,0,0,45,0,0,42.3,1840.75,0,1.034089365747657,3,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,False,False,True,False,False,False,False,False,True,False
0,0,0,0,2,1,1,70.7,151.65,1,0.9324101549620838,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,True,False,False,False,False,True,False,False,False,False
0,0,0,0,8,1,1,99.65,820.5,1,0.9716026812918952,5,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,True,False,False,False,False,True,False,False,False,False
1,0,0,1,22,1,1,89.1,1949.4,0,1.005540166204986,4,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,True,False,False,False,True,False,False,True,False,False
0,0,0,0,10,0,0,29.75,301.9,0,0.9854256376283538,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,False,False,False,False,False,False,True,False,False,False
0,0,1,0,28,1,1,104.8,3046.05,1,0.9633459726531081,6,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,True,False,False,False,False,True,False,False,True,False
1,0,0,1,62,1,0,56.15,3487.95,0,0.9980934359724193,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,False,False,True,False,False,False,False,False,False,True
1,0,1,1,13,1,1,49.95,587.45,0,1.105370669844242,2,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,False,False,False,False,False,False,True,True,False,False
1,0,0,0,16,1,0,18.95,326.8,0,0.9277845777233782,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,True,False,False,True,False,False
1,0,1,0,58,1,0,100.35,5681.1,0,1.0245022970903521,5,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,True,False,True,False,True,False,False,False,False,True
1,0,0,0,49,1,1,103.7,5036.3,1,1.008935130949308,6,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,True,False,False,False,False,False,False,False,False,True
1,0,0,0,25,1,1,105.5,2686.05,0,0.9819251316989631,6,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,True,False,False,False,False,True,False,False,True,False
0,0,1,1,69,1,0,113.25,7895.15,0,0.9897532029157141,8,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,True,False,False,True,True,False,False,False,False,True
0,0,0,0,52,1,0,20.65,1022.95,0,1.0497091744464537,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False,True,False,False,True
1,0,0,1,71,1,0,106.7,7382.25,0,1.0262047478749703,6,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,True,False,False,True,False,False,False,False,False,True
0,0,1,1,10,1,0,55.2,528.35,1,1.044761994889751,3,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,False,False,False,False,True,False,False,False,False,False
0,0,0,0,21,1,1,90.05,1862.9,0,1.0151108486767941,4,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,True,False,False,False,False,True,False,True,False,False
1,1,0,0,1,0,1,39.65,39.65,1,1.0,2,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,False,False,False,False,False,True,False,False,False,False
1,0,1,0,12,1,0,19.8,202.25,0,1.1747836835599508,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False,False,False,False,False
1,0,0,0,1,1,0,20.15,20.15,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False
0,0,1,0,58,1,1,59.9,3505.1,0,0.9911842743431001,4,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,False,False,False,True,True,False,False,False,False,True
1,0,1,1,49,1,0,59.6,2970.3,0,0.9832003501329831,4,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,False,False,False,False,True,False,False,False,False,True
0,0,0,0,30,1,1,55.3,1530.6,0,1.083888671109369,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,False,False,False,False,False,False,False,False,True,False
1,0,1,1,47,1,1,99.35,4749.15,1,0.9832180495457082,5,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,True,False,False,False,False,True,False,False,True,False
1,0,1,1,1,0,0,30.2,30.2,1,1.0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,False,False,False,False,False,True,False,False,False,False
1,0,1,0,72,1,1,90.25,6369.45,0,1.0201822763346915,8,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,False,False,False,True,True,False,False,False,False,True
0,0,0,1,17,1,1,64.7,1093.1,1,1.006220839813375,3,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,False,False,False,False,False,False,True,True,False,False
0,1,1,0,71,1,1,96.35,6766.95,0,1.0109207249942735,6,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,True,False,False,True,True,False,False,False,False,True
1,1,1,0,2,1,1,95.5,181.65,0,1.0514726121662537,4,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,True,False,False,False,True,False,False,False,False,False
0,0,1,1,27,1,0,66.15,1874.45,0,0.9528394995865455,5,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,False,False,True,False,False,False,True,False,True,False
1,0,0,0,1,1,0,20.2,20.2,0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False
1,1,0,0,1,1,0,45.25,45.25,0,1.0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,False,False,False,False,False,False,False,False,False,False
0,0,1,1,72,1,0,99.9,7251.7,0,0.9918777665926611,6,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,True,False,False,True,False,False,False,False,False,True
1,0,0,0,5,1,1,69.7,316.9,1,1.0997159987377723,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,True,False,False,False,False,True,False,False,False,False
